,user_id,n_pin,n_followers,n_following,n_like,county,n_following_twitter,n_follower_twitter,n_tweet
7505,2225645,133,10,24,51,TR,,,
7506,2225705,0,6,55,22,TR,,,
7507,2226051,0,5,2,9,TR,,,
7508,2226387,117,15,36,4,TR,1908.0,791.0,3359.0
7509,2226391,0,11,52,0,JP,,,
7510,2226393,0,1,10,0,ID,,,
7511,2226419,0,7,19,2,JP,,,
7512,2226456,0,1,1,1,TR,,,
7513,2226762,125,109,436,16,TH,105.0,32.0,1896.0
7514,2226840,0,9,0,0,TH,,,
7515,2226841,0,0,8,0,CN,,,
7516,2226898,198,6,8,1,JP,,,
7517,2226944,0,7,58,0,TH,,,
7518,2226965,2925,180,615,30,CN,,,
7519,2227616,24,18,99,61,TR,,,
7520,2227626,20,4,6,0,JP,146.0,141.0,2005.0
7521,2227943,0,1,53,0,JP,,,
7522,2228636,1,21,11,0,KR,,,
7523,2228729,0,19,22,0,KR,,,
7524,2228767,0,10,0,0,JP,,,
7525,2228769,40,7,11,1,JP,,,
7526,2228780,43,12,61,0,KR,,,
7527,2228813,1,7,13,0,TR,,,
7528,2228824,66,5,64,19,TR,,,
7529,2228831,0,18,13,0,JP,,,
7530,2228875,0,2,54,0,JP,,,
7531,2228902,26,2,6,4,JP,,,
7532,2228913,101,11,23,4,TR,,,
7533,2228914,1,8,16,0,TR,,,
7534,2228924,2,13,12,6,TR,270.0,181.0,1582.0
7535,2228926,76,7,20,13,TR,,,
7536,2228927,0,20,58,12,TR,,,
7537,2228999,0,20,17,1,TR,1115.0,291.0,620.0
7538,2229022,138,7,71,286,TR,,,
7539,2229043,98,17,35,130,TR,,,
7540,2229044,0,13,23,14,TR,,,
7541,2229049,0,19,54,25,TR,,,
7542,2229052,32,8,13,40,TR,,,
7543,2229056,0,8,23,24,TR,,,
7544,2229058,1,2,60,0,TR,,,
7545,2229059,916,17,73,21,TR,,,
7546,2229060,0,3,54,1,TR,,,
7547,2229061,0,1,49,0,TR,,,
7548,2229071,126,22,86,861,TR,,,
7549,2229076,3614,53,215,7969,TR,267.0,52.0,74.0
7550,2229079,3,1,62,2,TR,,,
7551,2229082,0,4,24,130,TR,,,
7552,2229083,0,20,52,0,TR,,,
7553,2229091,0,9,83,14,TR,,,
7554,2229137,0,6,12,6,TR,,,
7555,2229141,8640,317,133,8521,TR,,,
7556,2229142,5,12,58,3,TR,,,
7557,2229145,3,6,0,0,TR,,,
7558,2229147,1,6,5,3,TR,,,
7559,2229156,98,6,19,0,TR,77.0,26.0,31.0
7560,2229159,0,9,97,2,TR,,,
7561,2229162,0,7,1,0,TR,,,
7562,2229166,4,37,152,1,TR,,,
7563,2229172,0,1,11,0,TR,,,
7564,2229209,0,4,8,1,TR,,,
7565,2229213,0,1,11,0,TR,,,
7566,2229236,2,8,22,0,TR,,,
7567,2229272,7,4,16,12,TR,,,
7568,2229282,48,13,7,21,TR,,,
7569,2229303,59,10,65,3,TR,,,
7570,2229368,0,11,12,0,JP,,,
7571,2229613,1,2,69,1,ID,,,
